站点编号,小客车上行_零值个数,小客车上行_总样本数,小客车上行_零值占比(%),小客车下行_零值个数,小客车下行_总样本数,小客车下行_零值占比(%),非小客车上行_零值个数,非小客车上行_总样本数,非小客车上行_零值占比(%),非小客车下行_零值个数,非小客车下行_总样本数,非小客车下行_零值占比(%)
G0401L010430121,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G0401L020430121,71,1457,4.87,9,1457,0.62,75,1457,5.15,9,1457,0.62
G0401L040430121,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G0401L050430111,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G0401L060430112,3,1457,0.21,5,1457,0.34,5,1457,0.34,7,1457,0.48
G0421L020430602,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G0421L060430112,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G0421L070430302,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G0421L120430422,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G0421L130430482,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G0421L140431021,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G0421L150431021,7,1457,0.48,7,1457,0.48,7,1457,0.48,7,1457,0.48
G0421L160431024,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G0421L170431025,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G0421L180431022,0,1457,0.0,0,1457,0.0,0,1457,0.0,0,1457,0.0
G0422L010430626,3,1457,0.21,3,1457,0.21,20,1457,1.37,3,1457,0.21
G0422L020430626,3,1457,0.21,3,1457,0.21,6,1457,0.41,3,1457,0.21
G0422L030430181,34,1457,2.33,3,1457,0.21,46,1457,3.16,3,1457,0.21
G0422L040430181,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G0422L050430181,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G0422L060430281,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G0422L070430281,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G0422L080430281,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G0422L090430224,3,1457,0.21,3,1457,0.21,3,1457,0.21,5,1457,0.34
G0422L100430224,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G0422L110430225,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G0422L120431027,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G0422L130431026,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G0422L140431026,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G1517L010430225,15,1457,1.03,7,1457,0.48,67,1457,4.6,44,1457,3.02
G4L010430682,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G4L020430682,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G4L030430681,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G4L040430121,10,1457,0.69,12,1457,0.82,15,1457,1.03,28,1457,1.92
G4L050430121,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G4L060430111,4,1457,0.27,4,1457,0.27,4,1457,0.27,4,1457,0.27
G4L070430221,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G4L080430424,5,1457,0.34,3,1457,0.21,6,1457,0.41,3,1457,0.21
G4L090430422,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G4L100430481,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G4L110431023,3,1457,0.21,4,1457,0.27,3,1457,0.21,4,1457,0.27
G4L120431003,3,1457,0.21,3,1457,0.21,4,1457,0.27,3,1457,0.21
G4L125431003,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G4L130431022,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G5513L010430112,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G5513L011430112,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G5513L012430124,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G5513L013430124,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G5513L016430124,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G5513L018430903,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G5513L019430903,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G5513L020430902,12,1457,0.82,12,1457,0.82,12,1457,0.82,12,1457,0.82
G5513L030430722,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G5513L050430725,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G5513L060430821,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G5513L070430821,3,1457,0.21,3,1457,0.21,17,1457,1.17,4,1457,0.27
G5515L020430802,4,1457,0.27,8,1457,0.55,8,1457,0.55,64,1457,4.39
G5515L050433130,3,1457,0.21,3,1457,0.21,3,1457,0.21,7,1457,0.48
G55L110430523,9,1457,0.62,9,1457,0.62,9,1457,0.62,9,1457,0.62
G55L120431103,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G55L130431102,94,1457,6.45,3,1457,0.21,95,1457,6.52,3,1457,0.21
G55L140431102,7,1457,0.48,7,1457,0.48,53,1457,3.64,7,1457,0.48
G55L150431126,33,1457,2.26,33,1457,2.26,88,1457,6.04,33,1457,2.26
G55L160431126,211,1457,14.48,205,1457,14.07,348,1457,23.88,218,1457,14.96
G55L170431127,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G56L001430682,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G56L007430725,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G56L010430725,3,1457,0.21,3,1457,0.21,5,1457,0.34,3,1457,0.21
G56L020431222,3,1457,0.21,4,1457,0.27,3,1457,0.21,3,1457,0.21
G56L030431222,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G56L040433122,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G56L050433101,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G56L060433101,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G56L070433123,7,1457,0.48,7,1457,0.48,7,1457,0.48,7,1457,0.48
G59L100430528,6,1457,0.41,4,1457,0.27,4,1457,0.27,3,1457,0.21
G6021L010430181,3,1457,0.21,4,1457,0.27,3,1457,0.21,3,1457,0.21
G6021L020430181,3,1457,0.21,3,1457,0.21,5,1457,0.34,3,1457,0.21
G6021L030430181,3,1457,0.21,3,1457,0.21,3,1457,0.21,60,1457,4.12
G6021L050430121,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G60L003430281,1439,1457,98.76,1439,1457,98.76,1439,1457,98.76,1439,1457,98.76
G60L007430304,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G60L010430321,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G60L020430381,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G60L030431321,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G60L040430521,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G60L050430503,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G60L060430524,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G60L070430525,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G60L080430525,4,1457,0.27,5,1457,0.34,4,1457,0.27,5,1457,0.34
G60L090431221,3,1457,0.21,3,1457,0.21,6,1457,0.41,3,1457,0.21
G60L100431228,3,1457,0.21,3,1457,0.21,9,1457,0.62,3,1457,0.21
G60L110431227,10,1457,0.69,3,1457,0.21,10,1457,0.69,3,1457,0.21
G65L010433124,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G65L020433101,3,1457,0.21,4,1457,0.27,4,1457,0.27,6,1457,0.41
G65L030433123,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G65L040431202,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G65L050431221,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G65L060431281,3,1457,0.21,3,1457,0.21,11,1457,0.75,3,1457,0.21
G65L070431225,3,1457,0.21,3,1457,0.21,5,1457,0.34,3,1457,0.21
G65L080431229,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G65L090431230,6,1457,0.41,5,1457,0.34,6,1457,0.41,5,1457,0.34
G65L100431230,4,1457,0.27,4,1457,0.27,4,1457,0.27,4,1457,0.27
G65L110431230,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G72L002430224,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G72L006430223,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G72L008430424,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G72L010430422,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G72L020430426,3,1457,0.21,3,1457,0.21,4,1457,0.27,3,1457,0.21
G72L030431121,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G72L040431102,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G76L010431026,3,1457,0.21,5,1457,0.34,3,1457,0.21,4,1457,0.27
G76L020431026,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G76L030431022,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G76L040431002,4,1457,0.27,3,1457,0.21,112,1457,7.69,3,1457,0.21
G76L050431024,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G76L060431127,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
G76L070431126,3,1457,0.21,3,1457,0.21,3,1457,0.21,4,1457,0.27
G76L080431124,3,1457,0.21,20,1457,1.37,7,1457,0.48,59,1457,4.05
G76L090431124,3,1457,0.21,4,1457,0.27,4,1457,0.27,6,1457,0.41
S01L030430382,7,1457,0.48,3,1457,0.21,95,1457,6.52,61,1457,4.19
S10L010430802,3,1457,0.21,3,1457,0.21,4,1457,0.27,3,1457,0.21
S10L020433127,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
S10L030433124,3,1457,0.21,3,1457,0.21,4,1457,0.27,4,1457,0.27
S20L050430922,3,1457,0.21,3,1457,0.21,3,1457,0.21,26,1457,1.78
S20L060430922,4,1457,0.27,8,1457,0.55,5,1457,0.34,78,1457,5.35
S21L020430204,3,1457,0.21,6,1457,0.41,4,1457,0.27,6,1457,0.41
S41L010430112,5,1457,0.34,5,1457,0.34,5,1457,0.34,5,1457,0.34
S50L010430104,25,1457,1.72,25,1457,1.72,25,1457,1.72,25,1457,1.72
S50L020430104,29,1457,1.99,29,1457,1.99,29,1457,1.99,29,1457,1.99
S50L030430124,30,1457,2.06,30,1457,2.06,30,1457,2.06,30,1457,2.06
S50L040430381,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
S50L050431382,4,1457,0.27,4,1457,0.27,4,1457,0.27,4,1457,0.27
S50L090431224,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
S50L110431202,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
S50L120431202,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
S51L010430423,8,1457,0.55,3,1457,0.21,98,1457,6.73,58,1457,3.98
S51L020430407,4,1457,0.27,3,1457,0.21,115,1457,7.89,32,1457,2.2
S52L010430281,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
S70L010431321,3,1457,0.21,3,1457,0.21,3,1457,0.21,5,1457,0.34
S70L020431382,3,1457,0.21,3,1457,0.21,3,1457,0.21,4,1457,0.27
S70L030431322,4,1457,0.27,4,1457,0.27,4,1457,0.27,4,1457,0.27
S71L010430623,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
S71L020430921,3,1457,0.21,3,1457,0.21,24,1457,1.65,3,1457,0.21
S71L050430903,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
S71L060430124,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
S71L070430381,4,1457,0.27,4,1457,0.27,4,1457,0.27,4,1457,0.27
S71L080430381,3,1457,0.21,3,1457,0.21,3,1457,0.21,4,1457,0.27
S71L090431321,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
S71L100430421,3,1457,0.21,5,1457,0.34,4,1457,0.27,5,1457,0.34
S71L110430426,4,1457,0.27,4,1457,0.27,12,1457,0.82,58,1457,3.98
S78L010430424,6,1457,0.41,6,1457,0.41,114,1457,7.82,73,1457,5.01
S80L010430407,3,1457,0.21,3,1457,0.21,3,1457,0.21,9,1457,0.62
S80L020430421,25,1457,1.72,675,1457,46.33,25,1457,1.72,694,1457,47.63
S80L030430521,886,1457,60.81,30,1457,2.06,756,1457,51.89,526,1457,36.1
S81L010431124,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
S81L020431125,3,1457,0.21,3,1457,0.21,41,1457,2.81,3,1457,0.21
S86L050431230,15,1457,1.03,26,1457,1.78,17,1457,1.17,37,1457,2.54
S91L010430525,7,1457,0.48,7,1457,0.48,7,1457,0.48,13,1457,0.89
S91L020430581,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
S97L010431221,4,1457,0.27,9,1457,0.62,3,1457,0.21,4,1457,0.27
S99L050433126,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
